燥;ソウ;はしゃ.ぐ;parch, dry up
総;ソウ;す.べて,すべ.て,ふさ;general, whole, all, full, total
装;ソウ,ショウ;よそお.う,よそお.い;attire, dress, pretend, disguise, profess
像;ゾウ;;statue, picture, image, figure, portrait
憎;ゾウ;にく.む,にく.い,にく.らしい,にく.しみ;hate, detest
臓;ゾウ;はらわた;entrails, viscera, bowels
蔵;ゾウ,ソウ;くら,おさ.める,かく.れる;storehouse, hide, own, have, possess
贈;ゾウ,ソウ;おく.る;presents, send, give to, award to, confer on, presenting something
造;ゾウ;つく.る,つく.り,-づく.り;create, make, structure, physique
則;ソク;のっと.る;rule, follow, based on, model after
測;ソク;はか.る;fathom, plan, scheme, measure
卒;ソツ,シュツ;そっ.する,お.える,お.わる,ついに,にわか;graduate, soldier, private, die
孫;ソン;まご;grandchild, descendants
尊;ソン;たっと.い,とうと.い,たっと.ぶ,とうと.ぶ;revered, valuable, precious, noble, exalted
損;ソン;そこ.なう,そこな.う,-そこ.なう,そこ.ねる,-そこ.ねる;damage, loss, disadvantage, hurt, injure
村;ソン;むら;village, town
帯;タイ;お.びる,おび;sash, belt, obi, zone, region
替;タイ;か.える,か.え-,か.わる;exchange, spare, substitute, per-
袋;タイ,ダイ;ふくろ;sack, bag, pouch
濯;タク;すす.ぐ,ゆす.ぐ;laundry, wash, pour on, rinse
谷;コク;たに,きわ.まる;valley
担;タン;かつ.ぐ,にな.う;shouldering, carry, raise, bear
炭;タン;すみ;charcoal, coal
短;タン;みじか.い;short, brevity, fault, defect, weak point
団;ダン,トン;かたまり,まる.い;group, association
池;チ;いけ;pond, cistern, pool, reservoir
築;チク;きず.く;fabricate, build, construct
畜;チク;;livestock, domestic fowl and animals
竹;チク;たけ;bamboo
仲;チュウ;なか;go-between, relationship
柱;チュウ;はしら;pillar, post, cylinder, support
虫;チュウ,キ;むし;insect, bug, temper
駐;チュウ;;stop-over, reside in, resident
著;チョ,チャク;あらわ.す,いちじる.しい;renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work
貯;チョ;た.める,たくわ.える;savings, store, lay in, keep, wear mustache
兆;チョウ;きざ.す,きざ.し;portent, 10**12, trillion, sign, omen, symptoms
庁;チョウ,テイ;やくしょ;government office
超;チョウ;こ.える,こ.す;transcend, super-, ultra-
沈;チン,ジン;しず.む,しず.める;sink, be submerged, subside, be depressed, aloes
珍;チン;めずら.しい,たから;rare, curious, strange
低;テイ;ひく.い,ひく.める,ひく.まる;lower, short, humble
停;テイ;と.める,と.まる;halt, stopping
底;テイ;そこ;bottom, sole, depth, bottom price, base, kind, sort
